사용월,호선명,지하철역,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,작업일자
202210,신림선,서원,3075,612,10973,1180,17253,1650,9978,1537,5858,1704,4792,2038,5209,2544,4722,2783,3816,3221,3476,4331,3625,5204,3837,6637,3318,9730,2088,8911,1370,5781,973,5718,726,5191,341,3567,20221103
202210,신림선,신림,1002,561,3448,1237,6183,2023,3654,2332,2447,2217,2302,2715,2766,3230,2804,3324,2658,3612,2632,4494,2841,4596,2949,5917,3242,8983,2283,6055,1615,3696,1460,3535,1091,2820,650,2011,20221103
202210,안산선,고잔,16075,4708,32354,13201,24756,27724,17151,15696,14036,11957,14896,12015,14135,12225,13819,13861,13849,12959,16199,12750,18124,14135,23624,19509,23418,26598,9372,21460,7669,13310,7037,12428,5204,10584,2564,9150,20221103
202210,안산선,대야미,7852,3200,19011,5187,20230,8855,11321,5382,8822,5310,8065,5387,8151,5474,8062,5665,7815,6194,8308,7972,8867,9680,9220,11161,10264,15745,5457,12569,3801,8880,2763,7296,1757,7357,920,4210,20221103
202210,안산선,반월,7599,2622,17127,4169,15955,8061,10375,4260,8583,3885,7673,4400,7264,4790,6547,5425,5911,6231,5640,7427,7131,9134,8507,10862,8098,15245,3972,11645,2846,8668,2018,7169,1430,6800,552,3996,20221103
202210,안산선,산본,22013,6383,55895,14612,52545,29691,28555,22585,25106,20620,24336,21283,26580,24407,25040,27065,24705,26291,26534,28581,29423,35820,28810,44114,30927,64094,19763,54553,16885,31042,16522,24989,12710,21068,5136,13642,20221103
202210,안산선,상록수,32493,8351,66585,13282,63986,22513,37366,19567,28629,15853,25994,14492,26926,15482,24751,18764,21245,19713,22360,23013,25862,31007,27269,44217,24192,64081,15236,56771,12014,36166,9435,32059,6765,27743,2643,19656,20221103
202210,안산선,수리산,8696,1829,18161,4628,17630,7422,10535,4679,7983,4992,7457,4097,6857,3802,6358,3985,5285,4451,5682,5229,5497,6572,5758,8142,5357,12482,2857,10013,1920,6913,1502,5562,1008,5117,437,3240,20221103
202210,안산선,신길온천,3781,1791,8154,3439,6654,2971,4083,1680,3560,1529,3113,1906,3128,1945,2771,1976,2356,2406,2510,2825,3304,3634,4230,5113,4231,6463,2022,5029,1393,3424,883,3056,507,2758,207,1994,20221103
202210,안산선,안산,12900,16779,22034,38129,24325,31996,20588,15763,17329,13357,17111,15320,18127,15229,18505,15731,19417,16548,20299,17264,24764,20020,41907,26447,46213,27550,21399,22383,17759,17033,10576,14204,4646,10757,1461,7114,20221103
